track,Album,Artist,release_date,All Time Rank,January,February,March,April,May,June,July,August,September,October,spotify_streams,youtube_streams,YouTube Likes,TikTok Posts,TikTok Likes,tiktok_streams,YouTube Playlist Reach,Apple Music Playlist Count,apple_music_streams,SiriusXM_streams,Deezer Playlist Count,deezer_streams,Amazon Playlist Count,pandora_streams,Pandora Track Stations,soundcloud_streams,Shazam Counts
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,993,,,,,,,,,,,218431985,336505073,3901948,3595260,338445934,4731467896,11491467,24,20192,98,10,193061,14,12362903,6285,2388111,6024636
Go Fuck Yourself,First Steps,Two Feet,7/29/2016,2591,,,,,,,,,,,649191183,645296970,8887252,795603,151017071,1557145950,101434951,11,1173,,13,151243,,85462774,63886,,7233385
Go Hard,Go Hard - Single,Lil Baby,4/28/2023,4394,,,,,,,,,,,70601620,7241759,93111,20794,1923197,21009932,,10,1375,51,7,89394,,15028714,2422,,356684
"Go Loko (feat. Tyga, Jon Z)",Go Loko,YG,5/3/2019,3306,,,,,,,,,,,359828344,294072510,3184637,1311823,40532086,289928883,3159297,29,13007,97,21,37239,4,47722670,61724,,2142565
Go Stupid,Go Stupid,Polo G,2/14/2020,1241,,,,,,,,,,,416388749,122253253,1631776,248954,151447909,940333420,7278941,27,9098,125,11,24022,11,18692714,21103,80439766,1046790
Goa Beach,Goa Beach,Tony Kakkar,2/11/2020,1576,,,,,,,,,,,33384757,547206302,3673228,5723290,120770451,2180222501,86532,2,663,,,,3,2276,,,92503
GOAT,Goat - Single,Number_i,1/1/2024,3951,,,,,,,,,,,34820660,68873278,518809,,14000,173000,529004884,8,620,,1,9615,5,,,,213386
God Damn,Ek Tha Raja,Badshah,3/18/2024,3651,,,,,,,,,,,34233316,32452229,499855,,,,19904542,9,216,,2,796,13,7187,13,,66159
God is a woman,God is a woman,Ariana Grande,7/13/2018,4527,,,,,,,,,,,1064927546,120105486,1141821,545,258785,2480889,1209261,90,88924,60,43,313446,,134305701,63318,,2195677
God of Music,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',SEVENTEEN,10/23/2023,4417,,,,,,,,,,,64530857,68842793,1133609,7921,35053106,148059935,563214967,9,1597,7,7,248186,24,146890,105,,136977
God's Country,God's Country,Blake Shelton,3/29/2019,1665,,,,,,,,,,,367775924,312724268,1989112,607600,65822282,1035596168,521881638,44,145950,154,8,5121,17,299540949,308815,10943693,1661118
GOD'S COUNTRY,UTOPIA,Travis Scott,7/28/2023,2455,,,,,,,,,,,96802469,10285324,247844,2052,1668880,10714123,4558,7,39,,1,,9,483677,477,3535837,69071
God's Plan,Diplomatic Immunity,Drake,1/20/2018,278,,,,,,,,,,,2529948475,2040639375,19912225,640874,70576617,634177218,254153311,226,14465,442,103,898454,76,527043451,707727,,9512236
GODS,GODS,League of Legends,10/4/2023,1621,,,,,,,,,,,147487181,87715392,1215752,,,,608010787,3,,,1,538,2,1091406,486,,268378
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,1/17/2020,572,,,,,,,,,,,1456635235,657464189,10293443,162256,37734089,310162794,280494505,76,1087,110,61,502301,26,151276536,248709,,3056826
